"id","Kichwa","Español","Kichwa2"
"968","Kutirik"," Factor común ","Factor común nisqa"
"969","Kutirik taripay"," Búsqueda del factor común ","Factor común nisqa tariy"
"970","Kutsana"," Rasgar. ","Pakiy."
"971","Kutsi"," Ligero ","Kanchi"
"972","Kutsiy"," Agilidad ","Agilidad"
"973","Kuwartilla - Ukapa"," Cuartilla  +/- 60 lb. ","Pastern +/- 60 lbs."
"974","Kuy"," Cuy / conejillo de indias ","conejillo de indias / conejillo de indias"
"975","Kuya"," Reina- emperatriz- soberana del incario. Señora- dama ","Reina-emperatriz-soberano del Inca. señora- señora"
"976","Kuyak"," Acariciador ","acariciador"
"977","Kuyana-"," amar ","kuyay"
"978","Kuyashka"," Amante ","Munakuq"
"979","Kuyaylla"," hermosa- linda ","Sumaq munay"
"980","Kuyka"," Lombríz ","Kuru"
"981","Kuykakamay"," Lombricultura ","Vermicultura nisqa"
"982","Kuyllur"," Asterisco. ","Quyllur qillqa."
"983","Kuytsa"," Joven- adolescente mujer ","Wayna- wayna sipas warmi"
"984","Kuyurihillanta"," Máquina ","Maquina"
"985","Kuyuy"," mover ","kuyuy"
"986","Lachuri"," Hijastro ","Padrastra"
"987","Ladera"," Shayak allpa ","shayak allpa"
"988","Lamama"," Madrastra ","Madrastra"
"989","Lancha"," Tizón ","Smut"
"990","Lapani"," Hermanastra ","Padrastra"
"991","Laushi"," Hijastra ","Hija padrastra"
"992","Lawawki"," Hermanastro ","Padrastro wawqi"
"993","Layaya / latayta"," Padrastro ","Padrastro"
"994","Llachak"," Vegetal ","Yura"
"995","Llachakamay"," Flora ","Flora"
"996","Llachapashka"," Remendado ","Parcheado"
"997","Llachapay"," Remendar ","Parche up"
"998","Llachapayuk"," Remendon ","Zapatero"
"999","Llaki"," Triste ","Llakisqa"
"1000","llaki"," tristeza ","llakikuy"
"1001","Llakichik"," Perjuicios ","daños nisqakunata"
"1002","Llakichik wallpariykuna"," Formas de Explotación ","Formas de Explotación"
"1003","Llakichipacha"," La Colonia ","La colonia"
"1004","Llakichiy"," Explotación ","Explotación"
"1005","Llakilla"," Triste ","Llakisqa"
"1006","Llakitukuy"," Desastre ","Llaki tukuy"
"1007","Llakta"," Pueblo ","Llaqta"
"1008","Llakta ushay"," Democracia ","Democracia"
"1009","Llaktakay"," Pueblos ","ayllu llaqtakuna"
"1010","Llaktamanta llukshiri"," Migración ","Migración nisqa"
"1011","llaktapak ushay"," Democracia ","Democracia"
"1012","Llaktari allpa"," Territorio ","Territorio"
"1013","Llaktarimay"," Dialecto ","Dialecto"
"1014","Llaktay"," Pueblo. ","Llaqta."
"1015","Llaktayku"," Población ","Runakuna"
"1016","Llaktushay"," Democracia ","Democracia"
"1017","Llakushi"," Sentimiento ","Sunquchakuy"
"1018","llama"," Llama- oveja ","Llama- uwiha"
"1019","Llamkaypaktachi"," Función rol ","ruway ruway"
"1020","Llamkaywillay"," informe ","willakuy"
"1021","Llamkayñan"," Planificación ","Planificación nisqa"
"1022","Llampu"," Liso ","Llanpu"
"1023","Llankahillay"," Equipos ","Equipo"
"1024","Llankamana"," inutil ","mana hapisqa"
"1025","Llankanauku"," Oficina ","Oficina"
"1026","Llankanaukuk"," Oficinista ","Secretario"
"1027","Llankayñan"," Planificación ","Planificación nisqa"
"1028","Llano- campo"," Pampa ","Pampas"
"1029","Llantu"," Sombra ","Llantu"
"1030","Llanturiy"," Eclipse ","Eclipse nisqa"
"1031","Llapiriy"," Presión ","Ñitiy"
"1032","Llashachik"," Balanza ","Paqtachiy"
"1033","Llashak"," Masa y peso ","masa y peso"
"1034","Llashak tupu"," Medida de masa ","masa tupuy"
"1035","Llatanay"," Descubrirse- sacarse la ropa ","uncover - pachata hurquy"
"1036","Llawsayachik"," Endòcrino ","Endocrino nisqa"
"1037","Llawsayari"," Viscosidad ","Llunpay laqasqa"
"1038","Llawtu"," Corona- diadema ","Corona- diadema"
"1039","Llichayuk"," Dichoso ","Kusi"
"1040","Llika"," Sistema ","Sistema"
"1041","Llika yachay wasikuna"," Redes Educativas ","Redes Educativas nisqa"
"1042","Llika- wallpa"," Estructura ","Estructura"
"1043","Lliwitupu"," Radianes ","Radianokuna"
"1044","Lluki"," Izquierdo ","Lluqi"
"1045","Lluki maki"," Mano izquierda ","Lloq’e maki"
"1046","Llullana"," Mentir ","Llullay"
"1047","llullu"," tierno ","Munakuq"
"1048","Llumpak"," Limpio ","Pichay"
"1049","Llumpakay"," Virginidad ","Virginidad"
"1050","Llumpakshunku"," Castidad ","Ch’uya kay"
"1051","Llushpichiy"," Despegar ","Lluqsiy"
"1052","Llutachina"," Pegar. ","K’askachiy."
"1053","Llutariy"," Magnetismo ","Magnetismo nisqa"
"1054","Loma"," Tula ","Tula"
"1055","lulun"," huevo ","runtu"
"1056","Lumu"," Yuca ","Yuca"
"1057","Lutsay"," Proporción- proporcionalidad ","Proporción- proporcionalidad nisqa"
"1058","Lutsaychishpa raki"," Reparto proporcional ","proporcional nisqa rakiy"
"1059","Lutsaykumuk"," Proporción armónica o inversa ","Relación armónica o inversa nisqa"
"1060","Lutsaykutinchik"," Frecuencia relativa ","Frecuencia relativa nisqa"
"1061","Lutsaykuyak"," Proporcionalidad inversa ","Proporcionalidad inversa nisqa"
"1062","Lutsaysapayak"," Proporcionalidad directa ","proporcionalidad directa nisqa"
"1063","Machana"," Emborrachar ","Machay"
"1064","Machu"," Tuerto ","huk ñawiyuq"
"1065","Makana"," Pegar ","K’askachiy"
"1066","Makanakuy"," Guerra ","Awqay"
"1067","Makanakuy runakuna"," Guerreros ","Awqaqkuna"
"1068","Makay"," golpe- pegar- agravio ","golpe- golpe- insulto"
"1069","maki"," mano ","maki"
"1070","Maki hawa"," Palma de la mano ","Palma de la mano"
"1071","Maki ruka"," Uña del dedo de la mano ","dedo clavo"
"1072","Maki washa"," Dorso de la mano ","Makipa wasan"
"1073","Maki-watana"," Manilla- pulsera ","mango- pulsera"
"1074","Makillina"," Guante ","Guante"
"1075","Makimañachi"," Colaboración mutua ","yanapanakuy"
"1076","Makimañachiy"," Prestación de mano para el trabajo ","Llamkanapaq maki quy"
"1077","Makimañashpa"," una mano de ayuda ","yanapakuq maki"
"1078","Makimañay"," Pedir la mano para casarse ","Kasarakunaykipaq makita mañakuy"
"1079","Makipakchiruray"," Artesanía ","Artesania"
"1080","Makirumpay"," Voleibol ","Voleibol nisqa pukllay"
"1081","Makirurashka"," Manualidad ","artesania"
"1082","Makiruray"," Artesanía ","Artesania"
"1083","Makiruraykamay"," Artesanía ","Artesania"
"1084","Makiyasiy"," Voleibol ","Voleibol nisqa pukllay"
"1085","Maklluy"," Peligro ","Manchay"
"1086","Maklluy (GT)"," Peligro ","Manchay"
"1087","Mallina"," Probar- saborear ","sabor- sabor"
"1088","Mama"," Madre- mamá ","mama- mama"
"1089","Mama chanka"," Muslo ","Chanka"
"1090","Mama chumpi"," Faja-madre ","Cinturón-mama"
"1091","Mama kullki kamachi"," Regla de interés ","intereses nisqa kamachiy"
"1092","Mamakamachik"," Constitución ","Hatun Kamay Pirwa"
"1093","Mamakucha"," Océano ","Mama qucha"
"1094","Mamakullki"," Capital ","Kuraq"
"1095","Mamallakta"," País ","Hatun llaqta"
"1096","Mamallakta kallaripa tantanakuy"," Asamblea Constituyente ","constituyente nisqa Asamblea"
"1097","Mamallakta kawsay kallari"," Vida Republicana ","republicano kawsay"
"1098","Mamallakta Michari"," Defensa Nacional. ","Suyu amachay."
"1099","Mamallakta pura kapak kamay"," Política Exterior ","Política exterior nisqa"
"1100","Mamallaktachiy"," Estado ","Imayna kasqan"
"1101","Mamallaktapa apukwasi"," Palacio de Gobierno ","gobiernoq palacionpi"
"1102","Mamallaktapa haylli"," Himno Nacional ","Himno nacional"
"1103","Mamallaktapa kapak"," Nacionalista ","Nacionalista"
"1104","Mamallaktapak tantanakuy"," Estado ","Imayna kasqan"
"1105","Mamallaktapura kullkikulka"," Fondo Monetario Internacional FMI ","Fondo Monetario Internacional FMI nisqa"
"1106","Mamayakunta mintalay"," Comercio Marítimo ","Comercio marítimo nisqa"
"1107","Mana alli"," Mal- malo ","Mana allin millay"
"1108","Mana rikshka antakuna"," Los Ovnis ","OVNIs nisqakuna"
"1109","Mana riksishka"," Extraño ","Mana riqsisqa"
"1110","Mana tukurik"," Infinito ","Mana tukukuq"
"1111","Manahaykapash"," Nunca jamas ","Mana hayk’aqpas hayk’aqpas"
"1112","Manapakiyak yupay"," Número irracional ","mana yuyayniyuq yupay"
"1113","Manapipash"," nadie- ninguno ","mana imapas Mana imapas"
"1114","Manarak Turuwan makiruray pacha"," Período Precerámico ","Periodo Precerámico nisqa"
"1115","Manashuwak"," Honrado ","Honorasqa"
"1116","Manañakcharishka"," Despinado ","despegado"
"1117","Manchay"," temer ","manchakuy"
"1118","Manllariy"," Asustarse ","Manchakuy"
"1119","Manllay"," Temer- tener miedo ","manchakuy- manchakuy"
"1120","Manuchaskiy"," Cobrar ","Huñu"
"1121","Manya"," Borde- lado ","kantu- lado"
"1122","Manyaku"," Cateto ","Hick"
"1123","Manyakupurachi"," Tangente ","Tangente nisqa"
"1124","Manyakupuramuchi"," Cotangente ","Cotangente nisqa"
"1125","Manyakupuramunchi"," Cotangente ","Cotangente nisqa"
"1126","Manyapikakkuna"," Extremos ","extremos nisqakuna"
"1127","Manyatupu"," Perímetro ","Perímetro"
"1128","Manña"," Borde- orilla ","kantu- kantu"
"1129","Mapayashka"," Obseno ","qhelli simi"
"1130","Mapayay"," Pornografía ","Qhelli ruwaykuna"
"1131","Marka kamachik"," Prefecto ","Prefecto"
"1132","Markakamachiklli"," Consejero provincial ","Concejal Provincial nisqa"
"1133","Markapuk"," Gobernador ","Kamachiq"
"1134","Masha"," Yerno- cuñado ","Cuñado"
"1135","Mashi"," Amigo ","Masi"
"1136","Mashipurari"," Relación mutuo ","mutual relación nisqa"
"1137","Mashkaychani"," Incógnita ","Mana riqsisqas"
"1138","Mashnayachi"," Conocimiento de cantidad o cálculo ","Cantidad nisqamanta utaq yupaymanta yachay"
"1139","Mashnayachina"," Calcular ","Yupay"
"1140","Mashnaykuna"," Cantidad  ","Chanin"
"1141","Mashu- chimpilaku"," Murciélago ","Bat"
"1142","Mashuwa"," Mashua ","Mashua"
"1143","maskana"," buscar ","maskay"
"1144","Maskaypacha"," corona ","pillu"
"1145","MASMA YACHAK"," Ingeniero ","Ingeniero"
"1146","Masmana"," Construir ","Ruway"
"1147","Masmay"," Armar ","Huñunapaq"
"1148","Mawkana"," Usar ","Mawka"
"1149","May kutinchikuna"," Productos notables ","Admirakuypaq rurukuna"
"1150","May mutsuri"," Importantes ","chaniyuq"
"1151","May rakikuna"," Cocientes notables ","Cocientes Notables nisqakuna"
"1152","Mayalli"," Indispensable ","Indispensable"
"1153","Maychani- raymana"," Importancia ","Importancia nisqa"
"1154","Mayhatun"," Macro ","Macro nisqa"
"1155","Maykanpash"," Cualquiera ","Mayqinpas"
"1156","Maykutinchikuna"," Productos notables ","Admirakuypaq rurukuna"
"1157","Maymachariy"," Alcoholismo ","Alcoholismo nisqa"
"1158","Maymutsurik"," Importante ","Chaniyuq"
"1159","Maymutsuriy- Maychaniy"," Importancia ","Importancia nisqa"
"1160","Maypakchiruray"," Arte ","Sumaq ruway"
"1161","Mayrakikuna"," Cocientes notables ","Cocientes Notables nisqakuna"
"1162","Mayu"," Río ","Mayu"
"1163","Mayuchilla"," Micro ","Micro"
"1164","Maywa"," Morado- violeta ","Violeta morado"
"1165","Maywana"," enamorar ","kuyanakuypi urmay"
"1166","Maywana- Munayana"," Enamorar ","kuyanakuypi urmay"
"1167","Mañana"," Pedir ","Tapuy"
"1168","Mañay"," Solicitud ","Llamkana"
"1169","Mi si"," Gato ","Misi"
"1170","Michachikanyay"," Descomposición de la energía ","kallpaq ismuynin"
"1171","Michina"," Pastar ","Pasto"
"1172","Mika- mati"," Plato de madera ","Chapa de madera"
"1173","Miklla"," Treinta libras ","kimsa chunka libra"
"1174","Mikuna"," Comer ","Mikuy"
"1175","Mikuy- mikuna"," Alimento ","Mikuna"
"1176","Milchina"," Manipular ","Haywapayay"
"1177","Milchina- llanwana"," Palpar ","Musyay"
"1178","Milchinay"," Experimentar ","Experimentanapaq"
"1179","Milka"," Párrafo- cuadro ","Parrafo- recuadro"
"1180","Milkachishka"," killka Cuadro sinóptico. ","killka Tabla sinóptica."
"1181","Milkachishka killka(W)"," Cuadro sinóptico ","Tabla sinóptica"
"1182","Milkakinrayshuyu"," Histograma ","histograma nisqa"
"1183","Millanayay"," Feo ","Millay"
"1184","Millaymakay"," ",""
"1185","Millkashuyu"," Gráfico de barras ","Gráfico de barras"
"1186","Milluku"," Melloco ","melloco nisqa"
"1187","Minchakama"," Despedida Próxima ocasión ","Despedida Siguiente vez"
"1188","Minchayana"," Despedirse. ","Adiós niy."
"1189","Minchayana (W)"," Despedirse ","Adiós niy"
"1190","Minkana"," Encargar ","Pedido ruwanapaq"
"1191","Minkarik"," Huesped ","Minkasqa"
"1192","Mintala"," comerciante ","qatuq"
"1193","Mintalana"," Comercializar ","Qatu"
"1194","Mintalanayay"," Comercializaciòn ","Comercialización nisqa"
"1195","Mintalay"," Comercio ","Qatuna"
"1196","Mintu"," Pirámide ","Pirámide"
"1197","Mirachina"," Aumentar ","Yapay"
"1198","Mirachina (W)"," Reproducir ","pukllay"
"1199","Mirana"," Aumentar- producir- ","yapay- ruruchiy- ."
"1200","Mirka"," Paño- mancha de la cara ","Pacha- uya mancha"
"1201","Mishanakuy"," Competencia ","Llallinakuy"
"1202","Mishay"," Ganr- competir ","win- atipanakuy"
"1203","Mishki"," Dulce ","Miski"
"1204","Mishu"," mestizo ","kuskan Yawar"
"1205","Mishuma uchu"," Ají menos picante ","Chili aswan pisi picante"
"1206","Mitsa"," Verruga ","Verruga"
"1207","Mitsak"," Mezquino ","Ninan"
"1208","Mitsana"," Mezquinar ","uchuylla"
"1209","Miyuchina- Mapayachina"," Contaminar ","Qhillichay"
"1210","Miyuwayra"," Anhídrido Carbónico ","Dióxido de Carbono nisqa"
"1211","Miyuy"," Contaminación ","Contaminacion"
"1212","Miyuy wanu"," Fertilizante Químico ","Abono Químico"
"1213","Miyuychi"," Contaminaciòn ","Contaminacion"
"1214","Montaña- cerro"," Urku ","Urku"
"1215","Monte- bosque- selva"," Sacha ","sasha"
"1216","Muchana"," Besar ","Muchay"
"1217","Muchiku"," Sombrero ","Sombrero"
"1218","Muksi"," Oxido ","Óxido nisqa"
"1219","Muku"," nudo ","nudo"
"1220","Muku"," Articulación ","Huñusqa"
"1221","Munana"," Querer ","Munay"
"1222","Munanayay"," Deseo carnal ","Munapayay"
"1223","Munapayay"," Desear con locura ","loco hina munay"
"1224","Munarishka"," Aficionado ","Amawta"
"1225","Munay"," deseo ","munay"
"1226","Munay killka"," Escritura de expresión libre ","libre expresión nisqa qillqay"
"1227","Munay yachay"," Auto estudio. ","Kikinmanta yachay."
"1228","MUNAYMANTA RURAY"," Hobby- pasa tiempo ","hobby- pasa tiempo"
"1229","Muntira"," Gorra ","Cap"
"1230","Murtiñu"," Mortiños ","Mortiños"
"1231","Muru unkuy"," Sarampión ","Sarampión unquy"
"1232","Muru- añawi"," Fruto ","Miski ruru"
"1233","Muruchu"," Morocho ","yana chukchayuq"
"1234","MURUKUNA"," PRODUCTOS AGRÍCOLAS- granos ","CHASKAY RUWAYKUNA- granos"
"1235","Mushuk"," Nuevo ","Musuq"
"1236","Mushukpacha"," Neolítico ","Neolítico nisqa"
"1237","Mushukyachinalla"," Renovable ","musuqyachisqa"
"1238","Muskuna"," Soñar ","Qapariy"
"1239","Musparina"," Desvariar ","Rave"
"1240","Musyana"," preveer ","ñawpaqmanta qhawariy"
"1241","Musyana- kipakrikuna"," Prever ","Ñawpaqmanta qhawariy"
"1242","Musyay"," Prevención- temer- tener miedo ","Prevención- manchakuy- manchakuy"
"1243","Mutilon"," Motilones ","Motilonakuna"
"1244","Mutsukmanta"," Necesariamente ","Necesariamente"
"1245","Mutsuna"," Necesitar ","Mañakuy"
"1246","Mutsuri killkanancha kutinchi"," Productos notables ","Admirakuypaq rurukuna"
"1247","Mutsurik"," Útil ","Hapinalla"
"1248","Mutsushka"," Necesitado- menesteroso ","necesidad- necesitaq"
"1249","Mutsuy"," Uso ","Hapiy"
"1250","Mutsuy"," Necesitar ","Mañakuy"
"1251","Mutsuypa"," Utilidad ","Utilidad"
"1252","Muyu"," Semilla ","Muhu"
"1253","Muyuna"," Rodear ","Muyuy"
"1254","Muyuntin"," Alrededor ","Muyuriq"
"1255","Muyuntintupu"," Medida del círculo ","muyu tupuy"
"1256","Muyuriy"," Giro ","Muyuy"
"1257","Muyuy Rimay"," Mesa redonda ","Mesa redonda"
"1258","Muyuy tupu"," Perímetro de la circunferencia ","perímetro de circunferencia nisqa"
"1259","Muyuykuchu"," Ángulo de giro ","muyuy k’uchu"
"1260","Muyuypacha"," Ciclo ","Bicicleta"
"1261","Muyuyrimay"," Mesa redonda. ","Mesa redonda."
"1262","Muyuyshuyu"," Gráfico de pasteles ","tabla de circular"
"1263","Muyuytupu"," Longitud de la circunferencia ","circunferencia largo"
"1264","Nanay"," Dolor ","Nanay"
"1265","Nankay"," Equilibrio ","Paqtachiy"
"1266","Napaykuna"," Saludos ","Napaykuy"
"1267","Niki"," Orden ","Ñiqinchay"
"1268","NIKICHIK"," Ordenador- computadora- pc ","Computadora- computadora- pc"
"1269","Nikichina"," Ordenar- Organizar ","Ordenar- Organizar"
"1270","Nikirakiri"," Fase ","Pacha"
"1271","Nikiyupay"," Números ordinales ","Ordinal yupaykuna"
"1272","Nikiyupaykuna"," Números ordinales ","Ordinal yupaykuna"
"1273","Nikyachay"," Teorema ","Teorema nisqa"
"1274","Nimaykan"," ninguna ","mana mayqinpas"
"1275","Nina"," Fuegollama- candela ","Fuegollama- vela"
"1276","Nina kuru"," Luciérnaga ","Nina rawray"
"1277","Ninayay- rupariy"," Combustión ","Ruphachiy"
"1278","Nipa"," Elemento ","Imakuna"
"1279","Nipakutichi"," Intersección. ","Intersección."
"1280","Nipapurachi"," Correspondencia- relación ","Correspondencia- relación"
"1281","Nipayay"," Componente ","Componente nisqa"
"1282","Nishani"," Autodeterminación ","kikinmanta tanteakuy"
"1283","Nuna"," Espíritu- alma ","Espiritu- alma"
"1284","Pacha"," Tiempo y espacio ","Tiempo y espacio"
"1285","Pacha imallichik"," Adverbio de tiempo ","Tiempo adverbio"
"1286","Pacha shuktayay"," Fenómeno natural ","Fenomeno natural nisqa"
"1287","Pacha tupuk"," Reloj ","Reloj"
"1288","Pachachik"," Reloj ","Reloj"
"1289","Pachachik- sayllachik"," Reloj ","Reloj"
"1290","Pachakutik pacha"," Renacimiento ","Renacimiento"
"1291","Pachamama"," Mundo ","Pacha"
"1292","Pachamamapi tiyak"," Recurso natural ","Recurso natural nisqa"
"1293","Pachamamapi tiyakkuna"," Recursos naturales ","Pachamamapi kaqkuna"
"1294","Pachanyachiy"," Fomento ","wichay"
"1295","Pachapi tiyak chimpaykuna"," Teoría de la relatividad. ","Teoría de la relatividad nisqa."
"1296","Pacharikuy"," Cosmovisión.  ","Pacha qhawariy."
"1297","Pacharikuy(W)"," Cosmovisión ","Pacha qhawariy"
"1298","Pachatupu"," Medida de tiempo ","pacha tupuy"
"1299","Pachaykamay"," Física ","Fisico"
"1300","Pakana"," Esconder ","Pakay"
"1301","Pakarikuy"," Velar ","Aseguranapaq"
"1302","Pakarina"," Amanecer ","Inti lluqsimuy"
"1303","Pakashka"," escondido ","pakasqa"
"1304","Pakay"," Huabo ","Huabo"
"1305","Pakcha"," cascada ","cascada"
"1306","Pakchi"," Técnica ","Técnica"
"1307","Pakchiruray"," Tecnología ","Tecnologia"
"1308","Pakchirurayachay"," Taller ","Taller"
"1309","Pakiriklla"," Frágil ","Pakikuq"
"1310","Pakiy"," Romper en pedazos- destrozar ","pair en pedazos - pakiy"
"1311","Pakiyupay"," Número racional ","yupay racional"
"1312","Pakpayu"," Aves ","Pisqukuna"
"1313","Paktachani"," Ecuación o Igualdad de valores ","Ecuación o Igualdad de valores nisqa"
"1314","Paktachay"," justicia ","kuskachay"
"1315","Paktachichin"," Responsabilizar. ","cuentata quy"
"1316","Paktachichina"," Responsabilizar ","cuentata quy"
"1317","Paktachik"," Responsable ","Sullullchaq"
"1318","Paktachik kuchu"," Ángulo complementario ","ángulo complementario nisqa"
"1319","Paktachik tantachishka"," Conjunto complementario ","Conjunto complementario"
"1320","Paktachikkuna"," Propiedades o relaciones ","Propiedades o relaciones nisqakuna"
"1321","Paktachikuna"," Propiedades ","Kaqninkuna"
"1322","Paktachiriy"," Asumir responsabilidad ","Responsabilidadta hap’iy"
"1323","Paktachiy"," Responsabilidad ","Responsabilidad"
"1324","Paktak"," Suficiente ","Achka"
"1325","Paktakamu"," Libro mayor ","Libro mayor"
"1326","Paktakuchu"," Ángulo recto ","Chiqan kuchu"
"1327","Paktakuchu kimsamanyachi"," Triángulo rectángulo ","Chiqan kimsa kuchu"
"1328","Paktakuyuy- waskariklla"," Ritmo ","Kuskachay"
"1329","Paktalla kawsay"," Equidad de género ","Qhari warmi kaqlla kaynin"
"1330","Paktama"," Jeme ","Jeme"
"1331","Paktamanya"," Cateto menor ","catetus menor nisqa"
"1332","Paktanancha"," Resultado ","Tukusqa"
"1333","Paktapuchu"," Diferencia simétrica ","diferencia simétrica nisqa"
"1334","Paktara"," Cuidado ","Cuidakuychik"
"1335","Paktaraki"," Divisibilidad. ","Rakiy atiy."
"1336","Paktarakikyuk pakiyupaykuna"," Fracciones homogéneas ","Fracciones homogéneas nisqakuna"
"1337","Paktarakikyupay"," Máximo común divisor ","Aswan hatun kuska rakiq"
"1338","Paktarakirikyupay"," Mínimo común múltiplo ","aswan pisi comun achka"
"1339","Paktay"," Objetivo ","Chayana"
"1340","Paktayachay"," Currículo ","curriculum nisqa"
"1341","Paktayashka"," Equivalente ","Rikchaq"
"1342","Paktayuyay"," Definición ","Niynin"
"1343","Paku"," Café ","Cafe"
"1344","Pal anta"," Plátano ","Platano"
"1345","Palama- itha- Añallu"," Insecto ","Uru"
"1346","Palamamiyu"," Insecticida ","Insecticida nisqa"
"1347","Pallana"," Cosechar ","Cosecha"
"1348","Pallay"," Cosechar ","Cosecha"
"1349","Palta"," Aguacate ","Aguacate"
"1350","Paltarikkuska"," Barra ","Siqi"
"1351","Pamaway"," Cosmos ","Cosmos nisqa"
"1352","Pamaway nipa"," Elemento Cósmico ","elemento cósmico nisqa"
"1353","Pamawayak"," Cósmico ","Cosmico"
"1354","Pamawyri"," cósmico ","cosmico nisqa"
"1355","Pampa"," Planicie ","Panpa"
"1356","Pampa shuyukuna"," Figuras planas ","llañu siqikuna"
"1357","Pampallpa"," Llanura ","Panpa"
"1358","Pampawarmi"," Prostituta ","Prostituta"
"1359","Panchi"," Febrero ","Febrero killa"
"1360","PANCHI killa"," Febrero ","Febrero killa"
"1361","Pani"," Hermana hermano a hermana ","hermana wawqimanta ñañaman"
"1362","Pankakullki"," Billetes ","qullqi qillqakuna"
"1363","PANKALLI"," Documento de identificacion- documento pequeño ","Riqsichikuq qillqa - uchuy qillqa"
"1364","Panta"," confuso ","pantasqa"
"1365","Pantano- ciénega"," Wampu allpa ","Wampu allpa"
"1366","Pantay"," confusion ","pantay"
"1367","Papa"," Patata ","Papa"
"1368","Papaya"," Papaya ","Papaya"
"1369","PARANA"," demorar- durar en Imbabura ","retraso- último en Imbabura"
"1370","Parkuna"," Regar ","Yakuchanapaq"
"1371","Paruk"," Pulmón ","Pulmón"
"1372","Pascal kutinkutinchi"," Esquema de Paskal ","Esquema de Paskal"
"1373","Paskakuchu"," Ángulo obtuso ","Ángulo obtuso nisqa"
"1374","Paskakuchu kimsamanyaychi"," Triángulo obtusángulo ","Kimsa kuchu obtuso"
"1375","Paskama"," Cuarta ","Tawa ñiqi"
"1376","Paskama-ukapa"," Cuarta de mano ","tawa kaq maki"
"1377","Paskana"," Abrir ","Kichasqa"
"1378","Paskarikra"," Braza longitud ","brazada largo"
"1379","Paskay"," Abrir ","Kichasqa"
"1380","Pasña"," Adolescente mujer ","wayna sipas warmi"
"1381","Pata millma"," Vello púvico ","pubic chukcha"
"1382","Pata tullu"," Hueso púvico ","pubic tullu"
"1383","Patarina"," Doblar. ","Muyuy."
"1384","Patay"," Grado sexagecimal ","grado sexagecimal nisqa"
"1385","Patayak:"," Tramo ","Ruwana"
"1386","Patayay"," Tramo ","Ruwana"
"1387","Patayayku"," Intervalo- recorrido- rango ","Intervalo- puriy- rango"
"1388","Patayku"," Minutos angulares ","minutukuna angular nisqa"
"1389","Pataykulla"," Segundos angulares ","segundos angular nisqa"
"1390","Patpa"," pluma ","puru"
"1391","Patpay"," Emplumar ","Puru"
"1392","PATSAK"," cien- 100 ","pachak pachak"
"1393","Patsak piti"," Tanto por ciento ","Chayna achka pachakmanta"
"1394","Patsakri"," Porcentaje ","Pachakmanta (%)"
"1395","Patsakri shutichi"," Notación porcentual ","Pachakmanta (%) notación"
"1396","Patsakri shutichiy"," Notación porcentual ","Pachakmanta (%) notación"
"1397","Patsakrikrapampa"," Cuadra ","Harkay"
"1398","Patsaktatkipampa"," Hectárea ","Hectárea"
"1399","Patsakwata"," Siglo ","Pachak wata"
"1400","Pawana"," Volar ","Chuspi"
"1401","pawkar"," marzo ","Marzo killa"
"1402","Pawkar"," Marzo ","Marzo killa"
"1403","PAWKAR killa"," Marzo ","Marzo killa"
"1404","Pay"," Ella ","Pay"
"1405","Paya"," Vieja ","Machu warmi"
"1406","Paya mama"," Anciana ","Machu warmi"
"1407","Paya ruka"," Dedo pulgar ","Mama rukana"
"1408","Payku"," Payco ","payco"
"1409","Paykuna"," Ellas ","Paykuna"
"1410","Payllashka"," pagado ","huntachisqa"
"1411","Payllay"," Pagar ","Payllay"
"1412","Paypachik"," Pertenencia ","miembro kaynin"
"1413","Paypaknay"," Pertencer ","pipapas kay"
"1414","Peña"," Haka ","Haka"
"1415","Phacha"," Sábana ","Rapi"
"1416","Phallkala"," Sien ","Iglesia"
"1417","Phanka"," Hoja ","Rapi"
"1418","Phankalla"," Liviano ","Llampu llasaq"
"1419","Phatsayana"," Separar ","T'aqanakuy"
"1420","Phawachik anku"," Nervio ","Nervio"
"1421","Phintu"," Manta- trapo ","manta- rag"
"1422","Phintu ushuta"," Medias ","Pulqu"
"1423","Pichay"," Limpia ","Pichay"
"1424","Pichay- chuyay- mayllay"," Limpieza- aseo ","Limpieza- aseo"
"1425","PICHKA"," cinco- 5 ","pichqa- 5"
"1426","PICHKA CHUNKA"," cincuenta- 50 ","pichqa chunka- 50"
"1427","PICHKA PATSAK"," quinientos- 500 ","pichqa pachak- 500"
"1428","Piki"," Pulga ","Pulga"
"1429","Pillis"," Piojo del cuerpo ","cuerpopi chuspi"
"1430","Pillpintu"," Mariposa ","Pillpintu"
"1431","Pimill"," Alga acuática ","yakupi kawsaq algas"
"1432","Pinkay"," Vergüenza ","Pinqakuy"
"1433","Pinkullu"," Tobillo ","Wichuchu"
"1434","Pinllu"," Lechero ","Lecheria"
"1435","Piruri"," Rol ","Papel"
"1436","Piruru"," Disco ","Disco"
"1437","Pirway"," Diagramación ","Pallay"
"1438","Pirwayay"," Maqueta ","Qatina"
"1439","Pirámide natural-"," Kutama ","Kutama"
"1440","Pishiyak pakiyupay"," Fracción propia ","Fracción adecuada"
"1441","Pishiyashka"," Menor que ","Aswan huch'uy"
"1442","Pishku"," Pájaro- ave ","pisqu- pisqu"
"1443","Pishku- Patpayuk"," Ave ","Pisqu"
"1444","Piti"," poco ","aslla"
"1445","Pitikuska"," Segmento ","Segmento"
"1446","Pitina- kuchuna"," Cortar ","Kuchuy"
